listing-title,agent,area,district,sub-district,land-size,bedroom,bathroom,listing-price,cluster
dijual dijual the savia,sherly ,BSD,,,107,4,3,2100000000.0,0
dijual dijual rumah baru kekinian nusa loka bsd,sherly ,BSD,,,130,3,2,2000000000.0,0
dijual dijual rumah mewah lokasi elit bintaro jaya 4049 ct,christina ,Bintaro,,Bintaro,550,6,6,12300000000.0,1
dijual dijual serpong natura cluster acacia,sherly ,Serpong,Serpong,Serpong,45,2,1,850000000.0,0
dijual hot listing rumah mewah jadeite bsd city siapa cepat dia dapat ukuran 10 super lebar siap huni,sherly ,BSD,,,225,5,5,5500000000.0,2
dijual wts rumah monaco gading serpong,sherly ,Gading Serpong,Serpong,Serpong,96,4,4,2200000000.0,0
dijual wts rumah minimalis cluster boston,sherly ,Gading Serpong,Serpong,Serpong,44,2,2,1400000000.0,0
dijual bintaro jaya sektor 5,indrawaty h ,Bintaro,,Bintaro,120,2,1,2800000000.0,0
dijual bintaro,indrawaty h ,Bintaro,,Bintaro,50,2,2,850000000.0,0
dijual dijual rumah 2 lantai pinggir jalan dibsd dekat stasiun rawa buntu buaran pamulang summarecon,ghani ,BSD,Serpong,Serpong,55,3,2,900000000.0,0
dijual rumah idaman keluarga lokasi strategis dibsd di bawah 1m free biaya sampai shm promo tanpa dp,ghani ,Bintaro,Serpong,Serpong,55,3,2,900000000.0,0
dijual rumah 2 lantai cluste the eminent vivacia bsd,harry chen ,BSD,,,85,3,2,2500000000.0,0
dijual amala vilasa,adi ,,Ciputat,Ciputat,250,7,7,6950000000.0,2
dijual cluster ciputat dekat mrt,nisrina asy syifa ,,Ciputat,Ciputat,58,3,2,700000000.0,0
dijual bintaro,indrawaty h ,Bintaro,,Bintaro,41,2,1,1300000000.0,0
dijual rumah murah serpong modal 5 juta dp 0 shm dan free biaya2,a luqman t ,,Setu,,52,3,1,600000000.0,0
dijual tabebuya bsd,salman farisi ,,,,48,2,2,1049000000.0,0
dijual serpong grand park,yanti ,Serpong,Serpong,Serpong,72,2,1,800000000.0,0
dijual rumah syariah 2 lantai dekat bintaro 2 menit dari polsek pondok aren,rahmat suwandi ,,Pondok Aren,Pondok Aren,80,3,2,1800000000.0,0
dijual dijual cepat rumah mewah furnised da vinci dalam cluster de park di bsd tangerang selatan,wulan ,BSD,Serpong,Serpong,500,8,5,12450000000.0,1
dijual dijual cepat rumah siap huni lokasi strategis di permata bintaro jaya sektor 9 tangerang selatan,wulan ,Bintaro,,Bintaro,212,5,4,2850000000.0,2
dijual rumah 1 lantai minimalis sederhana di sektor 9 bintaro jaya hr10259m,shanty suntea ,Bintaro,,Bintaro,75,2,2,2300000000.0,0
dijual tirta golf bsd city,linda oktaviana ,BSD,,,450,6,4,4500000000.0,2
dijual jual rumah homey semi furnished di sektor 5 bintaro jaya gb 10267 m,shanty suntea ,Bintaro,,Bintaro,200,3,3,3000000000.0,2
dijual dijual rumah 4 kamar modern minimalis di sektor 4 bintaro dm 8981 m,shanty suntea ,Bintaro,,Bintaro,200,4,2,1850000000.0,0
dijual dijual rumah 2 lantai 3 kamar di kepodang sektor 2 bintaro js 8982 m,shanty suntea ,Bintaro,,Bintaro,187,3,2,4000000000.0,2
dijual rumah dijual cepat cantik exclusive sekali dilancewood at navapark bsd city harga nego,handiyono sunandjaja ,BSD,,,349,6,5,14500000000.0,1
dijual puri cirendeu indah,irham apdillah ,,Ciputat,Ciputat,163,4,4,3100000000.0,0
dijual rumah dijual brand new aman nyaman siap dihuni di giri loka bsd harga nego lagi,handiyono sunandjaja ,BSD,,,375,6,4,4750000000.0,2
dijual rumah dijual cepat aman nyaman asri dan siap huni di provence bsd harga turun nego,handiyono sunandjaja ,BSD,,,215,4,4,2900000000.0,2
dijual rumah dijual dj bintaro sektor 5 dekat kampus stan,rina yulianita ,Bintaro,,Bintaro,138,4,3,2850000000.0,0
dijual serpong,faridah ,Serpong,Serpong,Serpong,70,3,2,750000000.0,0
dijual rumah bintaro siap huni free bphtb,rossy ,Bintaro,,Bintaro,65,3,3,1580000000.0,0
dijual bsd dkt tol dan stasiun rawa buntu,faridah ,BSD,,,750,9,10,9000000000.0,1
dijual hot sale rumah ready visit di discovery bintaro 9166 sc 08111119245,lucy rachmala ,Bintaro,,Bintaro,126,4,3,2700000000.0,0
dijual bintaro sektor 3 10 juta all in,ismul ,Bintaro,,Bintaro,93,2,2,1000000000.0,0
dijual rumah kedaung cluster baru ciputat minimalis termurah di tangerang selatan,ismul ,,Ciputat,Ciputat,58,2,3,700000000.0,0
dijual cluster pondok cabe dp suka suka,ismul ,,Ciputat,Ciputat,80,3,2,700000000.0,0
dijual sakeena residence cluster murah di ciputat,ismul ,,Ciputat,Ciputat,58,2,1,600000000.0,0
dijual rumah dijual foresta albera bsd dekat mall aeon dan toll,devianty hartady devi ,BSD,,,120,4,4,3900000000.0,0
dijual cirendeu,dini wiryandoko ,,Ciputat,Ciputat,400,5,4,5200000000.0,2
dijual dijual rumah di cluster sheffield hoek greenwich bsd dekat mall aeon,devianty hartady devi ,BSD,,,160,4,4,4300000000.0,2
dijual rumah dijual semi furnished banyan the green bsd dekat toll dan stasiun rawa buntu,devianty hartady devi ,BSD,,,153,3,3,3250000000.0,0
dijual rumah dijual di pamulang 10 menit pintu tol,rossy ,Pamulang,Pamulang,,80,4,3,1495000000.0,0
dijual rumah minimalis murah lokasi strategis dekat toll pusat perbelanjaan di pamulang 2 lantai mewah 3 ka,ahmad yusuf lubis ,Bintaro,,Bintaro,69,3,3,900000000.0,0
dijual rumah tanpa dp 2 lantai mewah 3 kamar tidur dekat akses toll sekolah rumah sakit pasar di pamulang,ahmad yusuf lubis ,Pamulang,Pamulang,,69,3,3,900000000.0,0
dijual graha raya bintaro,arif ,Bintaro,Serpong,Serpong Utara,120,3,3,1850000000.0,0
dijual bintaro,arif ,Bintaro,,Bintaro,350,4,5,6900000000.0,2
dijual camar sektor 3 bintaro jaya,denni yuswanto ,Bintaro,,Bintaro,310,5,3,5000000000.0,2
dijual rumah secondary di jual cepat edisi butuh dana,ade saputra n ,Pamulang,Pamulang,,56,2,1,265000000.0,0
dijual rumah murah di pamulang 2 lantai 3 kamar tidur di jual murah kpr cicilan pebulan cuma 6jutaan dekat,ahmad yusuf lubis ,Pamulang,Pamulang,,67,3,2,881000000.0,0
dijual dijual rumah di pagedangan bsd,dessy nurhayati ,BSD,,,150,3,3,1050000000.0,0
dijual rumah kampung harga paling murah edisi butuh dana,ade saputra n ,,Ciputat,Ciputat,56,2,1,265000000.0,0
dijual dijual rumah di cluster oasis bintaro jalan pondok serut pondok kacang barat,irmawati ,,Pondok Aren,Pondok Aren,72,2,2,1350000000.0,0
dijual bsd kencana loka,emil fajar ,BSD,,,120,4,3,1860000000.0,0
dijual rumah mewah murah cicilan 6 jutaan dekat bundaran pamulang 3 kamar tidur 10 menit ke pintu toll pamu,ahmad yusuf lubis ,Pamulang,Ciputat,Ciputat,67,3,2,881000000.0,0
dijual rumah kampung harga beneran biin untung,ade saputra n ,,Ciputat,Ciputat,56,2,1,265000000.0,0
dijual sanur valley rumah 2lantai 600jt an,alvina ,BSD,,,66,3,3,600000000.0,0
dijual rumah cantik lokasi strategis,alvina ,BSD,,,66,3,3,600000000.0,0
dijual dijual rumah regensi melati mas dibawah harga pasar,sherly utami b ,Serpong,Serpong,Serpong Utara,66,2,1,850000000.0,0
dijual dijual cepat rumah rapih cluster menaggio l12x17 illago gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,227,4,3,5200000000.0,2
dijual dijual cepat rumah rapih cluster menaggio l12x17 illago gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,227,3,3,5200000000.0,2
dijual dijual rumah cantik cluster grisea l10 the spring summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,235,4,3,5000000000.0,2
dijual dijual cepat rumah mewah bagus cluster aristoteles full furnish summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,500,4,4,15000000000.0,1
dijual dijual cepat rumah full furnish sutera orlanda sutera sitara alam sutera dekat pasar 8,dadih yo ,Alam Sutera,,,200,4,3,5500000000.0,2
dijual dijual rumah mewah furnish cluster pelangi sutera sitara alam sutera,dadih yo ,Alam Sutera,,,360,5,5,7200000000.0,2
dijual dijual cepat murah rumah cantik sutera victoria alam sutera siap huni,dadih yo ,Alam Sutera,,,138,3,2,3400000000.0,0
dijual dijual cepat rumah cluster bohemia l8 hook bonus kolam renang gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,120,3,3,2600000000.0,0
dijual dijual rumah mewah cluster pelican l10 hook the spring summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,225,4,3,6000000000.0,2
dijual dijual cepat turun harga rumah cluster vivaldi full furnish symphonia summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,132,3,3,3850000000.0,0
dijual dijual cepat rumah cluster flourite lokasi paling starategis summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,300,4,4,3700000000.0,2
dijual bintaro jaya,boy rizal ,Bintaro,,Bintaro,220,4,2,8400000000.0,2
dijual dijual rumah mewah kolam renang pribadi cluster beryl summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,250,3,4,6800000000.0,2
dijual dijual cepat rumah lokasi paling starategis dan bagus cluster alexandrite gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,180,4,3,4500000000.0,2
dijual dijual rumah hook cluster dalton scientia summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,149,4,3,3300000000.0,0
dijual komplek dosen ui ciputat,faisal mulachela ,,Ciputat,Ciputat,180,3,3,3900000000.0,2
dijual rumah dalam cluster asri siap huni dekat stasiun pondok ranji bintaro plaza,elizabeth hutabarat ,Bintaro,,Bintaro,298,4,3,5000000000.0,2
dijual hanya dengan 5 juta kamu bisa punya rumah 2 lt 3 kmr di serpong,a luqman t ,,Setu,,52,3,1,600000000.0,0
dijual hot sale rumah nyaman full renovasi graha raya,faisal mulachela ,Bintaro,,Bintaro,110,2,2,1250000000.0,0
dijual rumah siap huni lahan luas di riverpark bintaro,elizabeth hutabarat ,Bintaro,,Bintaro,227,5,3,5000000000.0,2
dijual dijual cepat rumah cluster chrysocolla l10x20 phg summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,200,4,3,4200000000.0,2
dijual dijual rumah furnish cluster menaggio village l10x20 illago gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,260,4,3,4500000000.0,2
dijual dijual rumah langka cluster goldfinch the spring summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,300,4,3,6800000000.0,2
dijual dijual cepat murah cluster mozart tahap 2 symphonia summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,163,3,2,4400000000.0,2
dijual dijual cepat murah regent town bsd city unit bagus siap huni hadap selatan,dadih yo ,BSD,,,100,3,3,1950000000.0,0
dijual dijual unit langka cluster mozart 12x17 full furnish symphonia summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,263,4,4,8000000000.0,2
dijual dijual rumah 3 lantai cluster sapphire phg summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,570,4,5,8500000000.0,1
dijual dijual rumah cantik full furnish cluster sutera onyx 12x20 alam sutera,dadih yo ,Alam Sutera,,,240,4,4,5500000000.0,2
dijual rumah hook granada alicante gading serpong,yoehanes kurniawan ,Gading Serpong,Serpong,Serpong,203,4,5,6000000000.0,2
dijual dijual rumah hook l10 cluster newton scientia summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,260,5,3,4800000000.0,2
dijual dijual rumah siap huni cluster volta semi furnish gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,160,3,3,3400000000.0,0
dijual dijual cepat rumah sutera flamboyan l7 alam sutera,dadih yo ,Alam Sutera,,,160,4,3,2500000000.0,0
dijual dijual rumah full renov cluster jade l12x20 phg siap huni summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,450,3,3,6500000000.0,1
dijual dijual cepat rumah full furnish cluster jadeite l10x20 de park bsd city siap huni,dadih yo ,BSD,,,225,4,4,6150000000.0,2
dijual dijual rugi murah rumah hook cluster pelican the spring gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,225,4,3,5800000000.0,2
dijual dijual rugi harga murah rumah the crown phg summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,450,4,4,14000000000.0,1
dijual dijual rumah sultan mewah cluster tiara phg summarecon gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,700,6,5,14000000000.0,1
dijual corral 900 jt fasilitas lengkap,rendra ,Gading Serpong,Serpong,Serpong,53,2,2,965900000.0,0
dijual dijual rumah siap huni dicluster dekat pintu tol di bintaro,putu dewi ,Bintaro,,Bintaro,500,5,3,7300000000.0,1
dijual rumah dijual strategis serpong cukup bayar 10 juta langsung akad,pratama alamsyah ,Serpong,Serpong,Serpong,36,2,1,498000000.0,0
dijual dijual rumah siap huni di green serpong bintaro subsidi dp 50 juta,mila oktiviona ,Bintaro,Serpong,Serpong,41,2,1,1090000000.0,0
dijual cluster alicante granada gading serpong,jonathan wijaya ,Gading Serpong,Serpong,Serpong,203,5,4,6000000000.0,2
dijual rumah brand new di discovery bintaro,dadang rosniandar dadang drd ,Bintaro,,Bintaro,160,5,4,3300000000.0,0
dijual rumah bagus cluster exclusive ciputat 10 menit mrt lebak bulus,dadang rosniandar dadang drd ,,Ciputat,Ciputat,160,4,5,2600000000.0,0
dijual the bay paradise resort ciputat,dadang rosniandar dadang drd ,,Ciputat,Ciputat,77,3,2,1500000000.0,0
dijual rumah jual cepat rengas ciputat timur dekat bintaro sek 2,dadang rosniandar dadang drd ,,Ciputat,Ciputat,250,6,4,4000000000.0,2
dijual di jual rumah di bsd depan qbig,muklis treo hidayat ,BSD,Serpong,Serpong Utara,84,4,2,900000000.0,0
dijual rumah semi furnish ciputat dekat mcd menjangan dan bintaro,dadang rosniandar dadang drd ,,Ciputat,Ciputat,50,2,1,975000000.0,0
dijual rumah ciputat dekat area bintaro dan station krl sudimara,dadang rosniandar dadang drd ,,Ciputat,Ciputat,100,3,2,1490000000.0,0
dijual rumah ciputat legoso murah dekat kampus uin terawat siap huni,dadang rosniandar dadang drd ,,Ciputat,Ciputat,120,2,2,1500000000.0,0
dijual rumah mewah bintaro jaya sek 3 dekat plaza bintaro,dadang rosniandar dadang drd ,Bintaro,,Bintaro,412,5,3,7800000000.0,1
dijual rumah cantik siap huni dalam cluster dekat emerald bintaro,dadang rosniandar dadang drd ,,Pondok Aren,Pondok Aren,69,2,1,900000000.0,0
dijual rumah cantik bintaro jaya sek 2 dekat station krl,dadang rosniandar dadang drd ,Bintaro,,Bintaro,145,5,2,2450000000.0,0
dijual rumah cluster cireundeu lokasi nyaman dekat lebak bulus,dadang rosniandar dadang drd ,,Ciputat,Ciputat,174,4,5,1980000000.0,0
dijual rumah komplek serua ciputat dekat bintaro dan station krl sudimara,dadang rosniandar dadang drd ,,Ciputat,Ciputat,250,4,4,1600000000.0,2
dijual rumah komp cikini bintaro jaya area premium,dadang rosniandar dadang drd ,Bintaro,,Bintaro,150,3,2,3400000000.0,0
dijual rumah cluster bagus di graha raya bintaro bebas banjir,dadang rosniandar dadang drd ,Serpong,Serpong,Serpong Utara,125,5,4,1100000000.0,0
dijual rumah cantik minimalis dilokasi berkembang pondok karya dekat bintaro,dadang rosniandar dadang drd ,,Pondok Aren,Pondok Aren,98,3,2,1100000000.0,0
dijual rumah minimalis siap huni pamulang estate bebas banjir,dadang rosniandar dadang drd ,Pamulang,Pamulang,,132,3,2,1250000000.0,0
dijual rumah pamulang timur fullfurnished dalam cluster siap huni,dadang rosniandar dadang drd ,Pamulang,Pamulang,,85,3,2,1200000000.0,0
dijual rumah minimalis untuk kaum milenial dalam cluster exclusive di serua ciputat,dadang rosniandar dadang drd ,,Ciputat,Ciputat,70,2,2,1050000000.0,0
dijual rumah jual cepat jln raya merpati ciputat dekat bintaro,dadang rosniandar dadang drd ,,Ciputat,Ciputat,110,4,3,1500000000.0,0
dijual dijual rumah siap huni di grand akasi tangsel subsidi dp 50 juta,mila oktiviona ,Pamulang,Pamulang,,114,3,2,1290000000.0,0
dijual rumah terawat siap huni dalam cluster lokasi dekat bintaro plaza,dadang rosniandar dadang drd ,,Pondok Aren,Pondok Aren,110,3,3,1600000000.0,0
dijual rumah murah jual cepat lokasi strategis dalam bintaro jaya sek 3,dadang rosniandar dadang drd ,Bintaro,,Bintaro,300,10,4,3700000000.0,2
dijual new amarillo rumah full furnished paling murah,richard allan ,Gading Serpong,Serpong,Serpong,63,2,2,1587500000.0,0
dijual rumah cantik dalam cluster dekat stan pondok aren,dadang rosniandar dadang drd ,,Pondok Aren,Pondok Aren,65,2,1,930000000.0,0
dijual perumahan cluster matera residences gading serpong,richard allan ,BSD,Serpong,Serpong,208,4,3,6355800000.0,2
dijual ciureundeu ciputat timur tangerang selatan,dadang rosniandar dadang drd ,,Ciputat,Ciputat,450,6,5,6500000000.0,1
dijual rumah graha raya cluster jaya punya lokasi strategis,dadang rosniandar dadang drd ,Serpong,Serpong,Serpong Utara,66,3,3,1750000000.0,0
dijual rumah konsep jepang siap huni di gading serpong,richard allan ,Gading Serpong,Serpong,Serpong,149,3,3,6058000000.0,2
dijual rumah mewah area bintaro sektor 8 dekat lotte mart,dadang rosniandar dadang drd ,Bintaro,,Bintaro,600,6,8,7800000000.0,1
dijual rumah 2lantai pondok aren dekat plaza bintaro dan stasiun pondok ranji,dadang rosniandar dadang drd ,,Pondok Aren,Pondok Aren,100,3,2,1550000000.0,0
dijual rumah cluster serua indah 10 menit stasiun sudimara dan jurang mangu,dadang rosniandar dadang drd ,,Ciputat,Ciputat,45,2,1,680000000.0,0
dijual rumah cluster fullfurnished dekat upj dan bintaro xchange,dadang rosniandar dadang drd ,,Ciputat,Ciputat,68,3,1,1500000000.0,0
dijual rumah bagus cluster sawah lama ciputat siap huni,dadang rosniandar dadang drd ,,Ciputat,Ciputat,80,2,1,1050000000.0,0
dijual rumah komplek cantik siap huni pondok aren luasnya 297 m2 dekat plaza bintaro,dadang rosniandar dadang drd ,Bintaro,Pondok Aren,Pondok Aren,140,3,3,3100000000.0,0
dijual rumah bintaro jaya sektor 4 hitung tanah aja,dadang rosniandar dadang drd ,Bintaro,,Bintaro,90,3,1,950000000.0,0
dijual rumah milenial minimalis cluster malibu village,richard allan ,Gading Serpong,Ciputat,Ciputat,63,2,2,1468000000.0,0
dijual rumah minimalis modern di perumahan premium discovery bintaro,dadang rosniandar dadang drd ,Bintaro,,Bintaro,85,3,3,2400000000.0,0
dijual rumah serpong park bagus siap huni semi furnish,dadang rosniandar dadang drd ,Serpong,Serpong,Serpong Utara,120,4,4,1900000000.0,0
dijual rumah murah siap huni jarang ada di bintaro jaya sektor 4,dadang rosniandar dadang drd ,Bintaro,,Bintaro,70,2,1,1250000000.0,0
dijual rumah murah cantik dalam cluster di legoso ciputat,dadang rosniandar dadang drd ,,Ciputat,Ciputat,240,3,3,1750000000.0,2
dijual cluster pasadena grand residences gading serpong bsd,richard allan ,Bintaro,Serpong,Serpong,285,4,4,7366900000.0,2
dijual ruko pasar modern paramount gading serpong,richard allan ,Gading Serpong,Serpong,Serpong,81,2,2,1567000000.0,0
dijual rumah siap huni area bintaro sektor 9 dekat bintaro xchange,dadang rosniandar dadang drd ,,Ciputat,Ciputat,100,4,4,1400000000.0,0
dijual pasadena grand residence,richard allan ,Serpong,Serpong,Serpong,283,5,4,6898000000.0,2
dijual rumah cantik dalam cluster serua indah 10 menit statsiun sudimara,dadang rosniandar dadang drd ,,Ciputat,Ciputat,36,2,1,700000000.0,0
dijual cluster matera residence gading serpong,richard allan ,BSD,Serpong,Serpong,209,4,3,6358000000.0,2
dijual rumah murah malibu village gading serpong,richard allan ,Gading Serpong,Serpong,Serpong,53,2,1,957400000.0,0
dijual rumah komplek ciputat 2 lantai sekitaran bintaro siap huni,dadang rosniandar dadang drd ,,Ciputat,Ciputat,150,5,3,1450000000.0,0
dijual rumah mewah full marmer untuk keluarga besar,richard allan ,Gading Serpong,Serpong,Serpong,452,5,4,13690000000.0,1
dijual rumah cluster siap huni 1 km dari transmart graha raya,dadang rosniandar dadang drd ,Serpong,Serpong,Serpong Utara,65,3,2,950000000.0,0
dijual rumah cantik cluster exclusive 5 menit kampus stan jurang mangu,dadang rosniandar dadang drd ,,Pondok Aren,Pondok Aren,112,4,3,1500000000.0,0
dijual rumah ciputat dekat upj dan xchange mall bintaro bebas banjir,dadang rosniandar dadang drd ,,Ciputat,Ciputat,63,2,2,1326000000.0,0
dijual rumah jln cendrawasih sawah baru ciputat dekat xchange mall,dadang rosniandar dadang drd ,,Ciputat,Ciputat,55,2,1,1300000000.0,0
dijual rumah bintaro jaya sektor 9 dekat sekolah jepang,dadang rosniandar dadang drd ,Bintaro,,Bintaro,120,4,2,1850000000.0,0
dijual arinda pondok aren tangerang selatan,dadang rosniandar dadang drd ,,Pondok Aren,Pondok Aren,150,3,2,1250000000.0,0
dijual rumah graha raya bintaro siap huni dekat pasar segar graha,dadang rosniandar dadang drd ,Serpong,Serpong,Serpong Utara,100,3,1,1100000000.0,0
dijual rumah dekat dengan mall di serpong city paradise,felicia caroline ,,Setu,,99,2,2,1030000000.0,0
dijual rumah minimalis cantik cluster exclusive ciputat timur,dadang rosniandar dadang drd ,,Ciputat,Ciputat,130,4,4,2400000000.0,0
dijual rumah cantik pamulang timur siap huni bebas banjir,dadang rosniandar dadang drd ,Pamulang,Pamulang,,45,2,1,700000000.0,0
dijual rumah modern lokasi premium discovery bintaro jaya,dadang rosniandar dadang drd ,Bintaro,,Bintaro,180,5,4,3700000000.0,2
dijual rumah bagus siap huni di komplek pajak cipadu,dadang rosniandar dadang drd ,,Pondok Aren,Pondok Aren,50,2,1,900000000.0,0
dijual serpong puspitek bsd tangerang selatan,nata putra ,Serpong,Serpong,Serpong,65,3,2,999000000.0,0
dijual rawa buntu buaran serpong bsd tangerang selatan,nata putra ,Serpong,Serpong,Serpong,84,4,3,1700000000.0,0
dijual rumah siap huni lokasi strategis di graha jeumpa 2,felicia caroline ,,Setu,,70,2,1,930000000.0,0
dijual rumah dijual cireundeu bagus dekat bandara pondok cabe,dadang rosniandar dadang drd ,,Ciputat,Ciputat,150,4,3,2300000000.0,0
dijual rumah pamulang estate bagus bebas banjir,dadang rosniandar dadang drd ,Pamulang,Pamulang,,90,3,2,850000000.0,0
dijual rumah baru full renovasi bintaro jaya sektor 4,dadang rosniandar dadang drd ,Bintaro,,Bintaro,180,5,3,2200000000.0,0
dijual rumah siap huni di emerald bintaro jaya sek 9,dadang rosniandar dadang drd ,Bintaro,,Bintaro,350,4,3,4300000000.0,2
dijual rumah mewah di permata bintaro sektor 9,dadang rosniandar dadang drd ,Bintaro,,Bintaro,250,5,4,4000000000.0,2
dijual rumah cluster aria putra belakang pasar ciputat,dadang rosniandar dadang drd ,,Ciputat,Ciputat,50,2,1,680000000.0,0
dijual rumah minimalis cantik siap huni serpong bsd,dadang rosniandar dadang drd ,Serpong,Serpong,Serpong,75,3,3,975000000.0,0
dijual rumah area premium kebayoran bintaro jaya sek 7,dadang rosniandar dadang drd ,Bintaro,,Bintaro,249,5,4,5750000000.0,2
dijual perumahan nusaloka bsd,maria hanny ,BSD,,,74,4,2,1975000000.0,0
dijual pondok jagung,raya jordi ,Serpong,Serpong,Serpong Utara,35,2,1,500000000.0,0
dijual pondok jagung,raya jordi ,Serpong,Serpong,Serpong Utara,39,2,1,625000000.0,0
dijual rumah murah serpong heritage 600 juta 2 lantai 3 kamar,a luqman t ,,Setu,,52,3,1,600000000.0,0
dijual perumahan baru pamulang heritage 2 600 jt an 2 lt 3 kmr promo launching perdana,a luqman t ,Pamulang,Pamulang,Bambu Apus,52,3,1,600000000.0,0
dijual dijual new menteng mewah termurah,rendra ,BSD,Ciputat,Ciputat,217,4,4,4998800000.0,2
dijual new menteng lebar 12x15 5man,rendra ,Bintaro,Serpong,Serpong,217,4,4,4998800000.0,2
dijual dijual rumah rapi cluster area bintaro sektor 9 dekat stasiun sudimara jombang ciputat tangerang sel,qadrina ,,Ciputat,Ciputat,70,2,1,1300000000.0,0
dijual rumah siap huni malibu gading serpong,yohanes santoso ,Gading Serpong,Serpong,Serpong,74,2,2,1795000000.0,0
dijual rumah mewah siap huni sudah shm serpong green park,felicia caroline ,,Ciputat,Ciputat,120,3,3,1460000000.0,0
dijual bsd city serpong tangerang,dino ,BSD,Serpong,Serpong,84,3,2,850000000.0,0
dijual bsd city serpong,dino ,BSD,Ciputat,Ciputat,84,3,2,850000000.0,0
dijual rumah siap huni lokasi strategis di villa gunung lestari,felicia caroline ,,Ciputat,Ciputat,200,4,3,3840000000.0,2
dijual rumah dijual fleekhouse bsd siap huni,yohanes santoso ,BSD,,,88,3,2,1300000000.0,0
dijual bsd city serpong scandinavian valley,dino ,BSD,Serpong,Serpong,84,3,2,850000000.0,0
dijual rumah dijual di bintaro jaya sektor2,alexa ,Bintaro,,Bintaro,132,2,2,1750000000.0,0
dijual rumah siap huni dekat jakarta selatan di graha hijau riviera,felicia caroline ,,Ciputat,Ciputat,183,4,3,3800000000.0,2
dijual strozzi symphonia summarecon rumah attic mewah gading serpong,dita paramitha anggraini ,Gading Serpong,Serpong,Serpong,92,3,2,2400000000.0,0
dijual the green cluster vineyard bsd,mimi ,BSD,,,250,5,4,4850000000.0,2
dijual rumah siap huni lokasi strategis di komplek green bintaro,felicia caroline ,,Ciputat,Ciputat,109,2,2,1680000000.0,0
dijual rumah dijual bintaro sektor 3a mandar utama siap huni,yohanes santoso ,Bintaro,,Bintaro,245,5,2,5700000000.0,2
dijual owner jual rumah minimalis alam sutera premiere residence bagus nyaman kerenn,budi phang ,Alam Sutera,,,100,4,3,1299000000.0,0
dijual kebayoran bintaro,alexa ,Bintaro,,Bintaro,249,5,4,5750000000.0,2
dijual rumah siap huni full furnish di villa inti persada,felicia caroline ,Pamulang,Pamulang,,88,3,2,1680000000.0,0
dijual sutera winona,willy ,Serpong,Serpong,Serpong Utara,277,5,4,6676000000.0,2
dijual rumah siap huni sudah furnish di villa gardenia serpong,felicia caroline ,Pamulang,Pamulang,,70,3,2,990000000.0,0
dijual kebayoran bintaro,alexa ,Bintaro,,Bintaro,173,4,4,3200000000.0,2
dijual tangerang selatan,imam ,Bintaro,,Bintaro,94,3,2,1450000000.0,0
dijual kebayoran bintaro,alexa ,Bintaro,,Bintaro,250,4,4,4250000000.0,2
dijual discovery residence bintaro,amelia putri ,Bintaro,,Bintaro,155,0,0,2900000000.0,0
dijual dijual rumah mewah cluster lancewood l10x22 full furnish navapark bsd city unit langka,dadih yo ,BSD,,,285,3,3,8700000000.0,2
dijual discovery residence bintaro,amelia putri ,Bintaro,,Bintaro,154,5,4,4700000000.0,2
dijual dijual cepat rumah unit langka cluster san lorenzo l12x20 boulevard illago gading serpong,dadih yo ,Gading Serpong,Serpong,Serpong,270,3,3,5400000000.0,2
dijual turun harga dijual cepat rumah hook full furnish cantik cluster les belles mansion serpong,dadih yo ,BSD,Serpong,Serpong,255,4,4,4300000000.0,2
dijual kebayoran bintaro,ika indayanti ,Bintaro,,Bintaro,365,6,4,9900000000.0,1
dijual kebayoran bintaro,ika indayanti ,Bintaro,,Bintaro,400,4,4,12000000000.0,1
dijual rumah bukit nusa indah,suci wulandari ,,Ciputat,Ciputat,85,3,2,835000000.0,0
dijual rumah bsd 2 lantai dibawah 2 m dekat aeon mall toll,gatot song ,BSD,,,60,3,2,1900000000.0,0
dijual rempoa,faridah ,,Ciputat,Ciputat,600,6,4,10000000000.0,1
