listing-title,agent,area,district,sub-district,land-size,bedroom,bathroom,listing-price,cluster
dijual dijual rumah bagus luas dan furnished di cluster favorite bsd,kristiyanti ,BSD,,,185,4,4,5200000000.0,2
dijual rumah bsd city murah dan jual cepat sudah renovasi dan siap huni di alegria park,laurentius hery ,BSD,,,130,3,2,2200000000.0,0
dijual di jual rumah baru di nusaloka bsd tangerang selatan,sandra ,BSD,,,130,3,2,1925000000.0,0
dijual rumah dijual dalam cluster kecil di pondok aren tangsel,hersat ,,Pondok Aren,Pondok Aren,50,2,1,890000000.0,0
dijual perumahan foresta bsd kode101,fifi ,BSD,,,255,3,3,4100000000.0,2
dijual bsd rumah 2 lantai termurah hanya 500 jutaan dekat stasiun mojoo residence serpong,bunga salsabila ,BSD,,,55,3,2,500000000.0,0
dijual dijual rumah bagus 2 lt siap huni di area bintaro sektor 9 bintaro jaya tangsel ls tanah 96 m,jodi ,Bintaro,,Bintaro,90,3,2,1550000000.0,0
dijual dijual cepat rumah harga murah di bintaro,kristiyanti ,Bintaro,,Bintaro,75,2,1,700000000.0,0
dijual rumah murah di rempoa dekat ke jaksel dan stasiun mrt lebak bulus,jodi ,,Ciputat,Ciputat,300,5,3,2900000000.0,2
dijual rumah dijual u ville bintaro dekat stasiun jurangmangu dan kampus upj,jodi ,,Ciputat,Ciputat,33,2,1,1200000000.0,0
dijual villa gunung lestari jombang ciputat kota tangsel,zatu shabrina badlyn ,,Ciputat,Ciputat,200,5,4,3840000000.0,2
dijual rumah di graha raya bintaro tangerang selatan lt 98 m2 11,nia utania ,Serpong,Serpong,Serpong Utara,110,2,1,1550000000.0,0
dijual rumah cluster strategis discovery aluvia bintaro jaya wd32790,widya suci ,Bintaro,,Bintaro,98,2,2,2100000000.0,0
dijual rumah dijual murah di serpong hanya 500 jutaan mojoo residence serpong,bunga salsabila ,Serpong,Serpong,Serpong,55,3,2,500000000.0,0
dijual griya loka bsd,andreas kurniawan ,Serpong,Serpong,Serpong,118,4,4,1950000000.0,0
dijual cluster strozzi summarecon serpong,adrian ong ,Serpong,Serpong,Serpong,92,3,2,2400000000.0,0
dijual rumah di cluster caribbean at flaminggo mewah dan ideal 2 lantai,antoni ,Gading Serpong,Pondok Aren,Pondok Aren,129,4,3,2989000000.0,0
dijual rumah mewah di cluster at flaminggo ideal sangat strategis,antoni ,Pamulang,Pamulang,Serpong,129,4,3,2989000000.0,0
dijual serpong rumah murah di serpong hanya 500 jutaan mojoo residence serpong,bunga salsabila ,Serpong,Serpong,Serpong,55,3,2,500000000.0,0
dijual rumah sektor 6 gading serpong tangerang banten,yenny ,Gading Serpong,Serpong,Serpong,50,2,1,900000000.0,0
dijual dijual rumah minimalis murah cluster bintaro dekat stasiun,damayanti ,Bintaro,,Bintaro,45,2,1,1670000000.0,0
dijual rumah gading serpong volta 7x17 siap huni,jimmy lee ,Gading Serpong,Serpong,Serpong,132,3,3,2750000000.0,0
dijual bintaro rumah 2 lantai termurah hanya 600 jutaan dekat stasiun d lavia residence bintaro,bunga salsabila ,Bintaro,,Bintaro,55,3,3,600000000.0,0
dijual bsd giriloka,euis yulistiani ,BSD,,,300,3,4,5500000000.0,2
dijual bsd foresta bsd city,euis yulistiani ,BSD,,,290,4,4,6000000000.0,2
dijual neo catalonia bsd city,euis yulistiani ,BSD,,,55,2,1,1575000000.0,0
dijual greenwich cluster bsd city,euis yulistiani ,BSD,,,177,4,4,5800000000.0,2
dijual rumah brand new nusaloka bsd city,euis yulistiani ,BSD,,,150,3,2,1450000000.0,0
dijual rumah di graha raya taman berryl residence lt 72 m2 31,nia utania ,Serpong,Serpong,Serpong Utara,63,3,2,1500000000.0,0
dijual rumah tanah luas di bintaro jaya dekat bintaro plaza akses tol harganego,christin ,Bintaro,,Bintaro,300,5,4,5500000000.0,2
dijual bsd delatinos,euis yulistiani ,BSD,,,110,3,2,2100000000.0,0
dijual di jual rumah di bsd hook dengan halaman luas,indah ayu ,BSD,,,200,4,3,6500000000.0,2
dijual rumah town house di cirendeu dekat uin superindo,euis yulistiani ,,Ciputat,Ciputat,200,3,4,2200000000.0,0
dijual rumah di jual di bintaro posisi hook tanah luas dekat ke sekolah jepang,indah ayu ,Bintaro,,Bintaro,171,4,4,3800000000.0,2
dijual bsd delatinos bsd,euis yulistiani ,BSD,,,180,3,2,1700000000.0,0
dijual rumah dijual gading serpong bangunan baru 3lantai dalam cluster elite,indah ayu ,Gading Serpong,Serpong,Serpong,525,8,6,7900000000.0,1
dijual rumah dijual di de latinos serpong bsd sudah renovasi siap huni,indah ayu ,BSD,Serpong,Serpong,180,5,4,2600000000.0,0
dijual rumah di jual greenwich bsd city tanah luas siap huni,indah ayu ,BSD,,,170,4,4,5500000000.0,2
dijual di sewakan rumah di bintaro sektor 8 dekat taman menteng,indah ayu ,Bintaro,,Bintaro,170,4,2,120000000.0,0
dijual rumah dijual di melati mas serpong bsd lokasi strategis bebas banjir,indah ayu ,BSD,Serpong,Serpong,109,4,2,1200000000.0,0
dijual rumah dengan tanah luas cocok untuk usaha workshop etc,euis yulistiani ,BSD,,,340,6,4,7800000000.0,2
dijual jual rumah di pondok aren,ratih ratnawulan ,,Pondok Aren,Pondok Aren,110,3,2,1900000000.0,0
dijual summarecon the springs grisea,nicholas ,Gading Serpong,Serpong,Serpong,186,5,4,5800000000.0,2
dijual rumah di bali view cirendeu cipiutat timur,euis yulistiani ,,Ciputat,Ciputat,200,3,2,2200000000.0,0
